time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:04:41,robotiq_force_torque_frame_id,2.3,0.58,-1.08,0.063,-0.119,-0.067
22:04:41,robotiq_force_torque_frame_id,3.13,-0.03,-0.79,0.069,-0.12,-0.059
22:04:41,robotiq_force_torque_frame_id,2.8,-1.44,-1.01,0.067,-0.104,-0.062
22:04:41,robotiq_force_torque_frame_id,3.64,-0.84,-0.26,0.052,-0.14,-0.04
22:04:41,robotiq_force_torque_frame_id,3.37,-0.83,-0.56,0.06,-0.12,-0.036
22:04:41,robotiq_force_torque_frame_id,3.0,-1.41,-0.66,0.068,-0.124,-0.055
22:04:41,robotiq_force_torque_frame_id,3.4,-1.24,-1.01,0.06,-0.126,-0.052
22:04:41,robotiq_force_torque_frame_id,3.25,-0.45,-1.13,0.067,-0.112,-0.042
22:04:41,robotiq_force_torque_frame_id,3.07,-2.22,-0.78,0.062,-0.128,-0.044
22:04:42,robotiq_force_torque_frame_id,3.17,-1.37,-1.6,0.075,-0.132,-0.057
22:04:42,robotiq_force_torque_frame_id,3.35,-1.37,-0.75,0.074,-0.124,-0.028
22:04:42,robotiq_force_torque_frame_id,2.64,-0.5,-1.06,0.073,-0.113,-0.042
22:04:42,robotiq_force_torque_frame_id,1.49,-0.2,-1.06,0.049,-0.135,-0.021
22:04:42,robotiq_force_torque_frame_id,3.65,-0.58,-1.19,0.058,-0.127,-0.041
22:04:42,robotiq_force_torque_frame_id,1.96,-1.23,-1.37,0.071,-0.116,-0.072
22:04:42,robotiq_force_torque_frame_id,3.56,-0.67,-0.56,0.075,-0.13,-0.019
22:04:42,robotiq_force_torque_frame_id,2.46,-0.58,-0.82,0.095,-0.12,-0.039
22:04:42,robotiq_force_torque_frame_id,1.81,-0.89,-0.8,0.074,-0.117,-0.053
22:04:42,robotiq_force_torque_frame_id,2.17,-1.33,-0.81,0.081,-0.111,-0.039
22:04:43,robotiq_force_torque_frame_id,3.11,0.39,-0.46,0.071,-0.121,-0.038
22:04:43,robotiq_force_torque_frame_id,3.3,0.33,-0.93,0.075,-0.135,-0.033
22:04:43,robotiq_force_torque_frame_id,3.57,-1.7,-0.71,0.086,-0.13,-0.046
22:04:43,robotiq_force_torque_frame_id,2.74,-1.27,-0.38,0.053,-0.14,-0.043
22:04:43,robotiq_force_torque_frame_id,3.06,-1.63,-1.36,0.074,-0.115,-0.031
22:04:43,robotiq_force_torque_frame_id,2.62,-1.55,-1.38,0.072,-0.132,-0.048
22:04:43,robotiq_force_torque_frame_id,1.63,-2.19,-1.01,0.079,-0.124,-0.046
22:04:43,robotiq_force_torque_frame_id,4.04,-0.86,-0.73,0.081,-0.148,-0.013
22:04:43,robotiq_force_torque_frame_id,4.31,-1.11,-0.82,0.078,-0.126,-0.048
22:04:43,robotiq_force_torque_frame_id,4.03,-0.81,-1.26,0.071,-0.124,-0.023
22:04:44,robotiq_force_torque_frame_id,3.76,-0.64,-1.6,0.065,-0.135,-0.027
22:04:44,robotiq_force_torque_frame_id,2.5,-1.66,-1.44,0.07,-0.121,-0.034
22:04:44,robotiq_force_torque_frame_id,3.25,-1.56,-1.18,0.063,-0.119,-0.031
22:04:44,robotiq_force_torque_frame_id,3.51,-1.06,-0.94,0.079,-0.113,-0.002
22:04:44,robotiq_force_torque_frame_id,1.7,-2.11,-1.06,0.055,-0.111,-0.03
22:04:44,robotiq_force_torque_frame_id,4.05,-1.19,-0.82,0.077,-0.116,-0.017
22:04:44,robotiq_force_torque_frame_id,4.05,-0.98,-0.65,0.068,-0.108,-0.03
22:04:44,robotiq_force_torque_frame_id,4.26,0.7,-0.46,0.053,-0.134,-0.039
22:04:44,robotiq_force_torque_frame_id,3.86,1.05,-0.52,0.063,-0.113,-0.025
22:04:44,robotiq_force_torque_frame_id,3.18,-0.22,-1.47,0.068,-0.124,-0.028
22:04:45,robotiq_force_torque_frame_id,4.31,-0.58,-1.36,0.082,-0.112,-0.017
22:04:45,robotiq_force_torque_frame_id,3.73,-0.52,-1.45,0.063,-0.134,-0.038
22:04:45,robotiq_force_torque_frame_id,5.0,-0.69,-1.44,0.072,-0.125,-0.025
22:04:45,robotiq_force_torque_frame_id,4.88,-1.08,-1.15,0.08,-0.124,-0.028
22:04:45,robotiq_force_torque_frame_id,3.7,-0.91,-0.96,0.079,-0.133,-0.022
22:04:45,robotiq_force_torque_frame_id,4.18,0.31,-1.41,0.08,-0.12,-0.019
22:04:45,robotiq_force_torque_frame_id,4.93,-2.78,-1.5,0.088,-0.135,-0.035
22:04:45,robotiq_force_torque_frame_id,4.27,0.05,-1.16,0.09,-0.12,-0.033
22:04:45,robotiq_force_torque_frame_id,3.04,-0.68,-1.29,0.086,-0.115,-0.03
22:04:45,robotiq_force_torque_frame_id,3.3,-1.74,-1.12,0.067,-0.113,-0.032
22:04:46,robotiq_force_torque_frame_id,3.61,-0.18,-0.65,0.086,-0.136,0.0
22:04:46,robotiq_force_torque_frame_id,3.24,-0.34,-0.66,0.058,-0.122,-0.021
22:04:46,robotiq_force_torque_frame_id,4.43,0.14,-0.72,0.065,-0.127,-0.021
22:04:46,robotiq_force_torque_frame_id,2.0,-0.68,-0.68,0.079,-0.12,-0.041
22:04:46,robotiq_force_torque_frame_id,3.42,-0.12,-0.16,0.061,-0.102,-0.041
22:04:46,robotiq_force_torque_frame_id,2.59,-0.72,-0.02,0.065,-0.116,-0.039
22:04:46,robotiq_force_torque_frame_id,2.79,0.17,0.43,0.051,-0.114,-0.028
22:04:46,robotiq_force_torque_frame_id,2.67,-1.46,-0.26,0.086,-0.12,-0.02
22:04:46,robotiq_force_torque_frame_id,3.41,-0.16,-0.06,0.037,-0.102,-0.025
22:04:46,robotiq_force_torque_frame_id,4.06,-0.1,-1.06,0.054,-0.096,-0.023
22:04:47,robotiq_force_torque_frame_id,3.8,-0.05,-0.57,0.065,-0.126,-0.013
22:04:47,robotiq_force_torque_frame_id,3.53,-0.38,-0.48,0.081,-0.105,-0.019
